Time [Hr:Min:Sec],Neph [ug/cm^3]
15:16:00,23.086
15:16:10,28.829
15:16:20,25.972
15:16:30,25.966
15:16:40,34.59
15:16:50,23.078
15:17:00,31.736
15:17:10,37.477
15:17:20,34.586
15:17:30,57.754
15:17:40,43.243
15:17:50,43.277
15:18:00,37.507
15:18:10,23.089
15:18:20,28.819
15:18:30,34.579
15:18:40,31.747
15:18:50,31.778
15:19:00,37.473
15:19:10,40.401
15:19:20,43.272
15:19:30,49.009
15:19:40,40.405
15:19:50,31.69
15:20:00,34.625
15:20:10,46.162
15:20:20,37.477
15:20:30,46.172
15:20:40,43.296
15:20:50,43.233
15:21:00,28.858
15:21:10,31.733
15:21:20,37.456
15:21:30,49.003
15:21:40,54.774
15:21:50,34.618
15:22:00,37.477
15:22:10,28.832
15:22:20,28.809
15:22:30,31.729
15:22:40,28.829
15:22:50,31.751
15:23:00,28.867
15:23:10,31.657
15:23:20,25.94
15:23:30,20.2
15:23:40,23.086
15:23:50,23.091
15:24:00,23.089
15:24:10,28.864
15:24:20,40.396
15:24:30,37.515
15:24:40,25.949
15:24:50,25.983
15:25:00,37.494
15:25:10,49.042
15:25:20,34.602
15:25:30,52.074
15:25:40,34.559
15:25:50,51.903
15:26:00,37.481
15:26:10,34.633
15:26:20,34.641
15:26:30,23.06
15:26:40,31.708
15:26:50,34.641
15:27:00,37.502
15:27:10,25.94
15:27:20,34.618
15:27:30,49.053
15:27:40,28.848
15:27:50,31.693
15:28:00,31.743
15:28:10,28.819
15:28:20,17.354
15:28:30,17.324
15:28:40,25.954
15:28:50,31.722
15:29:00,28.864
15:29:10,37.519
15:29:20,23.091
15:29:30,20.209
15:29:40,25.978
15:29:50,25.943
15:30:00,17.295
15:30:10,14.411
15:30:20,20.209
15:30:30,23.047
15:30:40,20.212
15:30:50,20.178
15:31:00,25.978
15:31:10,28.822
15:31:20,25.943
15:31:30,25.949
15:31:40,20.182
15:31:50,20.178
15:32:00,23.091
15:32:10,34.629
15:32:20,25.957
15:32:30,31.754
15:32:40,28.829
15:32:50,25.981
15:33:00,49.08
15:33:10,28.835
15:33:20,25.937
15:33:30,28.854
15:33:40,28.87
15:33:50,28.838
15:34:00,17.317
15:34:10,20.175
15:34:20,17.315
15:34:30,14.432
15:34:40,17.297
15:34:50,20.2
15:35:00,25.978
15:35:10,23.068
15:35:20,23.094
15:35:30,20.194
15:35:40,17.281
15:35:50,17.318
15:36:00,14.421
15:36:10,23.063
15:36:20,37.617
15:36:30,25.963
15:36:40,31.758
15:36:50,31.761
15:37:00,49.08
15:37:10,28.832
15:37:20,31.704
15:37:30,23.063
15:37:40,31.715
15:37:50,34.648
15:38:00,25.983
15:38:10,23.065
15:38:20,20.171
15:38:30,23.099
15:38:40,20.207
15:38:50,20.2
